"ID","tag_image","respect","name","leader","age","tag","co_leader","capacity","members","rank","division","level","position","wins","leader_name","co_leader_name","leader_last_action"
8392,"8392-85658.png",3378665,"The Equalizer 3 United",1162485,5600,"EQ3U",913834,100,18,"Unranked",0,1,0,0,"Bad_azz_Billy","brighteyes506",1702470551
8397,"8397-85442.png",3128210,"ilimitada",1718691,5599,"ILI",322510,100,98,"Unranked",0,1,0,0,"Flugkatze","merdog",1702466026
8400,"8400-79822.png",5621654,"Lingering Insanity",1039527,5599,"CRZY",1071170,100,73,"Gold",3,13,0,7,"Wolfman","PuppyLove1052",1702470259
8422,"8422-12892.png",8935662,"Monarch Cupid",485873,5597,"|X|",2570007,100,94,"Diamond",1,19,37,16,"GAMBLER","JohnK",1702465326
8437,"8437-93446.png",364459,"The Mile High Clinic",2233624,5594,"AA",1949472,65,42,"Bronze",3,5,0,8,"acb1910","Dale-Gribble",1702469868
8442,"8442-28852.png",164894,"White and pink",703272,5594,"TMPT",0,80,2,"Unranked",0,1,0,0,"TornAlchemist",NA,1691497217
8455,"8455-33748.png",570202,"TR1BE",297109,5592,"~1~",1038317,80,20,"Silver",2,8,0,5,"Ricky-Bobby","-RL-SixPackPud",1702468330
8459,"8459-90037.png",131489,"Slags",379561,5592,"o_O ",0,50,5,"Unranked",0,1,0,0,"merthyrbull",NA,1702464711
8468,"8468-73266.png",14315187,"Bloodbath and Beyond",1622585,5591,"B3",2149351,100,81,"Diamond",1,19,50,18,"Adam","Lilypop",1702469952
8475,"8475-92906.png",60585,"Dictatura Testudo Ferrea",2706462,5591,"",2843711,30,13,"Bronze",0,2,0,3,"Liviosa32","Memoomaw",1702348310
8500,"8500-76070.png",6164588,"Total Domination",1043377,5587,"-TD-",553359,100,99,"Gold",2,12,0,5,"Dyno","Glenn14",1702452432
8503,"8503-61757.png",405790,"Bad Moon Rising",21411,5587,"BMR",577000,80,7,"Unranked",0,1,0,0,"Warchild","antman",1702466650
8509,"8509-46335.png",3592223,"Wandering Earth",2671581,5586,"WE",2508936,100,64,"Platinum",1,15,0,30,"Stella","Raichu",1702388002
8510,"8510-91626.png",3921884,"Ara Pacis",93922,5586,"AP",1952178,100,49,"Platinum",3,17,0,14,"Padokill","The_Law",1702466904
8520,"8520-78000.png",7898582,"Carbon X",2197270,5586,"C6X",2748236,100,99,"Diamond",4,22,14,14,"Fatbears","Fastslough",1702467141
8536,"8536-35495.png",408134,"White Walkers",2109992,5583,"WW",0,100,11,"Bronze",3,5,0,13,"Rayduhn",NA,1702433857
8537,"8537-70544.png",4372527,"NNGO",2176544,5583,"NNGO",2587469,100,99,"Platinum",1,15,0,22,"anto_capone","Kuto",1702457218
8556,"8556-78780.png",591378,"The Devils Rejects",177765,5582,"TDR",335062,100,15,"Unranked",0,1,0,0,"BobAmok","HeaT",1702456297
8565,"8565-61929.png",48578,"Mayham",1431794,5581,"",0,50,6,"Unranked",0,1,0,0,"Alex",NA,1702443215
8566,"8566-3132.png",1622041,"Marv&#039;s Socks",1914803,5581,"MMS",2114076,100,21,"Bronze",0,2,0,6,"TheLuvlillypink","MrHanske2",1701461532
8585,"8585-51984.png",787300,"S-I-S Full Send",1474911,5579,"*OK*",0,100,11,"Unranked",0,1,0,0,"hilliard",NA,1702413098
8592,"8592-59887.png",122243,"Accurate Hitz Hybrid",25372,5578,"AHH",1839746,40,16,"Bronze",0,2,0,7,"MrSwaim","Knightcity",1702452552
8606,"8606-4594.png",1273141,"Leviathan Initiative",2696321,5576,"LVI",0,100,41,"Silver",0,6,0,15,"Kai-el",NA,1702464507
8629,"8629-44676.png",0,"Marvel Fanatics",463971,5573,"M~F",0,30,0,"Unranked",0,1,0,0,NA,NA,NA
8633,"8633-39391.png",128245,"Padded",505778,5573,"PD",0,50,1,"Unranked",0,1,0,0,"Maidenpark",NA,1702466758
8634,"8634-0.png",90734,"Infamous - Relentless",466517,5573,"",298251,80,5,"Unranked",0,1,0,0,"FB-JamieN","FB-LesleyAnn",1702467171
8647,"8647-57145.png",112480,"QuiXanD",947464,5572,"QxD",2076259,80,8,"Unranked",0,1,0,0,"--pain--","GetFknBopped",1702382305
8651,"8651-0.png",69481,"Project Mayhem",1300791,5572,"~pm~",0,50,3,"Unranked",0,1,0,0,"miguel_cotto",NA,1702467371
8655,"8655-0.png",83193,"Random Acts of Chillaxin",20978,5571,"RAOC",0,50,3,"Unranked",0,1,0,0,"kill99",NA,1684824398
8659,"8659-0.png",78861,"Sergeant General",56377,5571,"",0,65,2,"Unranked",0,1,0,0,"M3DUS4",NA,1702457841
8669,"8669-11913.png",58888,"Universal",471676,5570,"Uni",0,30,1,"Unranked",0,1,0,0,"tracey_b",NA,1507729760
8677,"8677-9024.png",1276588,"WIT-Ranger",174491,5570,"WIT",2830762,100,46,"Silver",2,8,0,18,"Henry_Royal","-Outlaw",1702469218
8678,"8678-0.png",100702,"The Unknown Quantity",279547,5570,"",1023677,30,21,"Unranked",0,1,0,0,"Salvia","LingeringDeath",1702470937
8687,"8687-2938.png",194496,"The Sanctuary",346745,5569,"SANC",2132694,50,45,"Unranked",0,1,0,0,"Rebel_Phoenix","FrankyClamps",1702456229
8689,"8689-99932.png",71530,"Inferno2",117247,5569,"inf",120997,15,6,"Unranked",0,1,0,0,"Pumba","perjee",1702417117
