"start","end","winner","forfeit","ID","fid1","score1","atk1","resp1","pts1","cache1","rb1","ra1","membs1","fid2","score2","atk2","resp2","pts2","cache2","rb2","ra2","membs2","win1","win2","rew1","rew2"
1701360000,1701640856,37786,0,9740,"37185",0,0,837,12558000,2.35e+08,"Silver III","Silver III",62,"37786",4006,472,7758,116480000,2.985e+09,"Silver III","Gold I",80,FALSE,TRUE,0,3101480000
1701388800,1701716455,50881,0,9741,"50881",2130,580,1871,0,6.8e+08,"Unranked","Bronze I",13,"50899",1378,469,392,0,0,"Unranked","Unranked",14,TRUE,FALSE,6.8e+08,0
1701356400,1701561655,26885,0,9742,"26885",5404,1642,10193,153062000,3.955e+09,"Gold","Gold I",36,"36421",1473,296,1659,24888500,6.25e+08,"Silver III","Silver II",28,TRUE,FALSE,4108062000,0
1701439200,1701634910,8869,0,9743,"8869",4159,775,2650,39812500,1e+09,"Silver III","Gold I",16,"48622",1813,290,830,12467000,0,"Silver III","Silver II",12,TRUE,FALSE,1039812500,0
1701540000,1701831817,49169,0,9744,"19449",1271,345,919,13786500,2.35e+08,"Silver III","Silver II",17,"49169",2778,475,5104,0,1.96e+09,"Silver II","Silver III",14,FALSE,TRUE,0,1.96e+09
1701529200,1701555684,33007,0,9745,"937",306,73,3487,52370500,1.305e+09,"Diamond III","Diamond II",97,"33007",18307,1504,26263,394348500,1.0065e+10,"Diamond II","Diamond III",100,FALSE,TRUE,0,10459348500
1701356400,1701532855,21665,0,9746,"7835",133,22,4391,65929500,1.555e+09,"Diamond III","Diamond II",97,"21665",13162,953,30668,460460000,1.2115e+10,"Diamond II","Diamond III",97,FALSE,TRUE,0,12575460000
1701435600,1701601255,8509,0,9747,"8509",12973,1945,7972,119710500,2.975e+09,"Gold II","Gold III",66,"25001",4506,771,5380,80762500,2.24e+09,"Gold I","Gold",89,TRUE,FALSE,3094710500,0
1701532800,1701561262,9055,0,9748,"9055",17227,1930,11114,166894000,4.195e+09,"Platinum II","Platinum III",79,"30009",2325,293,5681,85312500,2.21e+09,"Platinum I","Platinum",99,TRUE,FALSE,4361894000,0
1701360000,1701429257,1149,0,9749,"1149",14104,1300,9904,148694000,3.67e+09,"Gold III","Platinum I",86,"9689",3303,573,3224,48412000,1.21e+09,"Gold II","Gold I",88,TRUE,FALSE,3818694000,0
1701446400,1701508617,48002,0,9750,"40918",1730,405,1894,28437500,6.8e+08,"Gold","Gold",67,"48002",12046,995,13395,201110000,5.18e+09,"Gold I","Gold II",76,FALSE,TRUE,0,5381110000
1701367200,1701639083,49196,0,9751,"25288",2730,674,873,13104000,2.35e+08,"Bronze I","Bronze",25,"49196",4460,901,2303,0,7.65e+08,"Bronze II","Bronze III",17,FALSE,TRUE,0,7.65e+08
1701442800,1701458224,8336,0,9752,"8336",16728,1454,41490,622986000,1.637e+10,"Diamond I","Diamond II",86,"8989",24,4,5282,79306500,1.915e+09,"Diamond II","Diamond I",91,TRUE,FALSE,16992986000,0
1701547200,1701633461,20881,0,9753,"20659",874,144,2483,37264500,9.15e+08,"Platinum","Gold III",29,"20881",8858,1752,8255,123942000,3.325e+09,"Platinum I","Platinum II",41,FALSE,TRUE,0,3448942000
1701385200,1701647565,47515,0,9754,"47515",5714,1263,3077,46182500,1.055e+09,"Silver II","Silver III",25,"49585",3164,746,2162,32441500,7.9e+08,"Silver I","Silver",35,TRUE,FALSE,1101182500,0
1701475200,1701651655,50246,0,9755,"49955",586,156,649,0,2.35e+08,"Bronze I","Bronze",15,"50246",2806,564,1667,0,5.55e+08,"Bronze II","Bronze III",16,FALSE,TRUE,0,5.55e+08
1701446400,1701460509,7709,0,9756,"230",4109,369,5932,89089000,2.235e+09,"Diamond V","Diamond IV",97,"7709",21714,1687,30946,464646000,1.196e+10,"Diamond IV","Diamond V",96,FALSE,TRUE,0,12424646000
1701370800,1701695367,45421,0,9757,"20747",147,22,3952,59332000,1.565e+09,"Diamond","Platinum III",97,"45421",5961,509,18744,281463000,7.455e+09,"Platinum III","Diamond I",80,FALSE,TRUE,0,7736463000
1701435600,1701534653,49837,0,9758,"46805",1842,222,2004,30075500,7.35e+08,"Gold I","Gold",24,"49837",6840,1041,5151,77350000,1.945e+09,"Gold II","Gold III",29,FALSE,TRUE,0,2022350000
1701536400,1701727139,46127,0,9759,"27554",2037,139,3283,49276500,1.25e+09,"Platinum I","Platinum",29,"46127",6655,733,7206,108199000,2.78e+09,"Platinum","Platinum I",18,FALSE,TRUE,0,2888199000
1701540000,1701654874,41067,0,9760,"41067",8836,1556,6808,102238500,2.69e+09,"Gold II","Gold III",37,"48058",2023,223,3298,49504000,1.235e+09,"Gold III","Gold II",52,TRUE,FALSE,2792238500,0
1701363600,1701467195,8803,0,9761,"8803",16481,2472,15359,230594000,6e+09,"Platinum","Platinum I",60,"41853",5164,676,3975,59696000,1.43e+09,"Gold III","Gold II",74,TRUE,FALSE,6230594000,0
1701446400,1701676855,50245,0,9762,"38987",828,226,469,7052500,1.8e+08,"Bronze III","Bronze III",14,"50245",2981,410,3744,0,0,"Silver III","Gold I",18,FALSE,TRUE,0,0
1701345600,1701586855,50901,0,9763,"50752",585,231,829,0,2.35e+08,"Bronze I","Bronze",13,"50901",2101,600,933,0,0,"Unranked","Bronze II",11,FALSE,TRUE,0,0
1701554400,1701795656,37155,0,9764,"37155",2729,820,1624,24388000,4.7e+08,"Bronze II","Bronze III",23,"50645",749,217,818,0,0,"Bronze I","Bronze",14,TRUE,FALSE,494388000,0
1701464400,1701466080,9305,0,9765,"9305",16010,1478,22205,333424000,8.445e+09,"Diamond","Diamond I",76,"10610",0,0,2403,36081500,9.35e+08,"Platinum III","Platinum II",86,TRUE,FALSE,8778424000,0
1701374400,1701522055,48633,0,9766,"48633",3069,683,1375,0,5e+08,"Bronze II","Bronze III",17,"50261",581,89,599,0,0,"Bronze II","Bronze I",15,TRUE,FALSE,5e+08,0
1701540000,1701730855,8867,0,9767,"8867",11227,738,26750,401674000,1.0115e+10,"Diamond II","Diamond III",86,"13784",0,0,3573,53644500,1.36e+09,"Diamond III","Diamond II",82,TRUE,FALSE,10516674000,0
1701525600,1701667951,22691,0,9768,"22691",3324,832,1377,20657000,5e+08,"Bronze III","Silver I",18,"50528",717,183,696,0,0,"Bronze II","Bronze I",15,TRUE,FALSE,520657000,0
1701525600,1701614391,38634,0,9769,"22932",1502,171,2452,36809500,7.9e+08,"Platinum I","Platinum",26,"38634",7541,1120,4647,69797000,1.725e+09,"Platinum I","Platinum II",18,FALSE,TRUE,0,1794797000
1701453600,1701846836,49515,0,9770,"1251",4603,842,1235,18564000,3.2e+08,"Bronze","Bronze",27,"49515",5123,1246,1783,0,0,"Bronze I","Bronze II",18,FALSE,TRUE,0,0
1701500400,1701778157,48418,0,9771,"46570",1369,353,2320,34853000,8.9e+08,"Gold I","Gold",16,"48418",3210,748,3884,58331000,1.615e+09,"Gold II","Gold III",17,FALSE,TRUE,0,1673331000
1701360000,1701597655,48093,0,9772,"48093",2831,603,2478,37219000,9.15e+08,"Silver II","Silver III",12,"48965",873,122,822,12330500,0,"Silver III","Silver II",16,TRUE,FALSE,952219000,0
1701522000,1701618748,14820,0,9773,"14820",15349,2119,8689,130448500,3.32e+09,"Silver III","Gold I",64,"42505",6999,1177,2826,42451500,0,"Silver I","Silver I",77,TRUE,FALSE,3450448500,0
1701532800,1701632304,15046,0,9774,"6895",9669,2159,2892,43407000,1.085e+09,"Silver II","Silver II",97,"15046",19700,2598,8177,122759000,3.19e+09,"Silver II","Silver III",89,FALSE,TRUE,0,3312759000
1701446400,1701566386,47841,0,9775,"46392",870,255,1111,16698500,4.15e+08,"Gold I","Gold I",29,"47841",5576,988,7806,117208000,2.875e+09,"Gold","Gold I",29,FALSE,TRUE,0,2992208000
1701378000,1701698234,50257,0,9776,"50208",665,177,1129,0,3.2e+08,"Bronze I","Bronze",20,"50257",1785,441,1332,0,5e+08,"Bronze I","Bronze II",12,FALSE,TRUE,0,5e+08
1701482400,1701684055,49291,0,9777,"31828",992,327,827,12421500,2.35e+08,"Silver III","Silver II",15,"49291",3643,1085,3540,53144000,1.39e+09,"Silver II","Silver III",22,FALSE,TRUE,0,1443144000
1701439200,1701473576,16628,0,9778,"2736",4482,379,7304,109655000,2.835e+09,"Diamond I","Diamond",77,"16628",21187,1785,32794,492401000,1.257e+10,"Diamond I","Diamond II",91,FALSE,TRUE,0,13062401000
1701360000,1701641680,7282,0,9779,"7282",10227,828,30378,456137500,1.196e+10,"Diamond III","Diamond IV",84,"16312",3158,320,6659,99963500,2.71e+09,"Diamond III","Diamond II",77,TRUE,FALSE,12416137500,0
1701554400,1701653889,38547,0,9780,"38547",8228,1332,4010,60196500,1.43e+09,"Silver III","Gold I",37,"47760",2946,489,1620,24342500,6.25e+08,"Silver III","Silver II",40,TRUE,FALSE,1490196500,0
1701388800,1701536758,45046,0,9781,"45046",3028,587,2839,42633500,1.095e+09,"Silver III","Gold I",13,"48703",398,106,505,7598500,0,"Silver III","Silver II",11,TRUE,FALSE,1137633500,0
1701378000,1701518181,47924,0,9782,"46978",431,98,892,13377000,3.2e+08,"Bronze III","Bronze II",46,"47924",5535,1160,4043,60697000,1.54e+09,"Silver","Silver I",35,FALSE,TRUE,0,1600697000
1701453600,1701556303,43699,0,9783,"9405",1658,264,2150,32305000,7.65e+08,"Platinum II","Platinum I",30,"43699",7928,781,9927,149058000,3.835e+09,"Platinum I","Platinum II",25,FALSE,TRUE,0,3984058000
1701540000,1701629648,48040,0,9784,"48040",6206,1065,4205,63154000,1.74e+09,"Gold II","Gold III",29,"48112",1057,213,1463,21976500,5.95e+08,"Gold II","Gold I",18,TRUE,FALSE,1803154000,0
1701370800,1701741655,50843,0,9785,"50743",1344,339,582,0,1.8e+08,"Unranked","Unranked",12,"50843",1792,547,820,0,0,"Unranked","Bronze I",11,FALSE,TRUE,0,0
1701457200,1701498006,15151,0,9786,"15151",15731,1671,14085,211484000,5.43e+09,"Gold II","Gold III",92,"43428",3928,723,3359,50414000,1.235e+09,"Gold I","Gold",98,TRUE,FALSE,5641484000,0
1701529200,1701553704,16057,0,9787,"16057",8026,918,7008,105241500,2.75e+09,"Silver I","Silver II",65,"40921",418,101,952,14287000,0,"Silver","Bronze III",54,TRUE,FALSE,2855241500,0
1701374400,1701607580,37570,0,9788,"37570",2286,810,1708,25662000,5.55e+08,"Bronze","Bronze I",17,"50888",512,106,437,0,0,"Unranked","Unranked",13,TRUE,FALSE,580662000,0
1701439200,1701720056,19,0,9789,"19",7227,910,14259,214077500,5.475e+09,"Platinum II","Platinum III",89,"11796",640,69,5058,75939500,1.915e+09,"Platinum I","Platinum",95,TRUE,FALSE,5689077500,0
1701360000,1701558055,44092,0,9790,"44092",4209,975,4202,63108500,1.57e+09,"Silver I","Silver II",21,"50344",1535,291,1165,0,0,"Silver","Bronze III",14,TRUE,FALSE,1633108500,0
1701414000,1701708016,50634,0,9791,"50347",499,140,670,0,2.35e+08,"Bronze I","Bronze",12,"50634",1676,568,1446,0,5.95e+08,"Bronze I","Bronze II",14,FALSE,TRUE,0,5.95e+08
1701374400,1701385688,9047,0,9792,"9047",9324,869,7178,107789500,2.735e+09,"Gold III","Platinum I",62,"10566",919,138,1277,19155500,4.15e+08,"Gold III","Gold II",55,TRUE,FALSE,2842789500,0
1701543600,1701620320,9201,0,9793,"9201",10940,1322,9851,147920500,3.765e+09,"Platinum I","Platinum II",40,"14432",2538,412,3347,50277500,1.305e+09,"Platinum I","Platinum",45,TRUE,FALSE,3912920500,0
1701388800,1701457753,14760,0,9794,"14760",17006,2636,14007,210301000,5.805e+09,"Platinum II","Platinum III",83,"44404",4003,615,6309,94731000,2.43e+09,"Platinum III","Platinum II",79,TRUE,FALSE,6015301000,0
1701370800,1701556653,49028,0,9795,"49028",2726,512,2903,43589000,1.07e+09,"Bronze III","Silver I",11,"50396",275,50,786,0,0,"Silver","Bronze III",15,TRUE,FALSE,1113589000,0
1701432000,1701655114,50428,0,9796,"50395",129,21,476,0,1.8e+08,"Bronze III","Bronze II",14,"50428",1867,402,1757,0,0,"Bronze II","Bronze III",11,FALSE,TRUE,0,0
1701367200,1701572803,37450,0,9797,"20941",1505,221,2015,30257500,6.8e+08,"Platinum I","Platinum",16,"37450",4743,838,5192,77941500,1.89e+09,"Platinum I","Platinum II",13,FALSE,TRUE,0,1967941500
1701464400,1701831656,49473,0,9798,"49473",2507,605,1704,0,6.5e+08,"Bronze","Bronze I",14,"49910",1804,391,826,0,0,"Unranked","Unranked",20,TRUE,FALSE,6.5e+08,0
1701381600,1701647981,48140,0,9799,"47893",9525,1927,2100,31531500,6.8e+08,"Silver","Bronze III",32,"48140",12078,1801,3814,57284500,1.485e+09,"Silver I","Silver II",33,FALSE,TRUE,0,1542284500
1701522000,1701772110,49443,0,9800,"47957",1451,435,603,0,1.8e+08,"Bronze","Bronze",17,"49443",3507,897,3973,0,1.615e+09,"Silver I","Silver II",20,FALSE,TRUE,0,1.615e+09
