fac1,fac2,fac1_name,fac2_name,wstart,wid,week
28460,35090,Gangsta&#8217;s With Attitude,Desert Phoenix,1737054000,21162,2025_3
7282,9110,Luscious Dreams,Siege,1737158400,21161,2025_3
48718,51771,Peaky CS II,8-Ball,1737079200,21160,2025_3
49010,51559,Academy of Killers BR,The Iron Fist,1737068400,21159,2025_3
35140,45415,Vault 76,PT-SunnyVale,1737147600,21158,2025_3
52355,52610,Thot.pockets,Cheddarplanet,1737064800,21157,2025_3
50334,52608,Noble Vanguard,Rogue Algorists,1737144000,21156,2025_3
9517,37426,OverWatch,Monarch Embassy,1737036000,21155,2025_3
47924,50242,The Guild,The Rebel Association,1737216000,21154,2025_3
50428,50662,Blade Runners,Cursebound Armada OJCW,1737230400,21153,2025_3
9357,36134,AQUA-Neptune,SMTH - Silver Hand,1737100800,21152,2025_3
49142,50396,The Mishaps,BPT,1737226800,21151,2025_3
7709,8085,Vulpes Vulpes,Nuclear Blast,1737230400,21150,2025_3
13131,16299,Torn Galactic Republic,Neon Cartel,1737223200,21149,2025_3
10979,51926,BAD COMPANY ,Inglorious Basterds,1737050400,21148,2025_3
10184,42961,Queen Bee,The Rebel Army,1737140400,21147,2025_3
230,10610,PT-Family,NPO - Strength,1737064800,21146,2025_3
52851,53042,The Red Rabbit,CROWD CONTROL,1737158400,21145,2025_3
7652,41225,Alley Cats,PT-erodactyls,1737133200,21144,2025_3
47563,51896,Heroin!,Stoner Inc,1737039600,21143,2025_3
12645,15595,NPO - Endurance,Lusty Lizards,1737230400,21142,2025_3
51373,52799,The Salamanders,Bingo Loco,1737136800,21141,2025_3
40385,49967,Death Before Dishonor,Sandline,1737054000,21140,2025_3
52639,53100,Silent Wind,Menacing Monkeys,1737230400,21139,2025_3
48087,48206,GigaProbe,ADHD Team,1737219600,21138,2025_3
8566,12894,Mismatched,New Sith Order II,1737147600,21137,2025_3
52652,52860,RAVISPA,$$$,1736992800,21136,2025_3
52542,52806,House Of War,Shadow_Wizard_Money_Gang,1737212400,21135,2025_3
22932,49636,The Red Circle,New Beginning,1737219600,21134,2025_3
8537,9201,NNGO,Destination Unknown,1737072000,21133,2025_3
10940,49122,TC Mafia Chain Gang,Balls of Steel MC,1737057600,21132,2025_3
51679,53020,Stiff knights: re-erected,Los Blancos Eldorado,1737151200,21131,2025_3
52063,52358,Torn City Cartel,Gotham&#039;s Finest,1737057600,21130,2025_3
11796,40992,SMTH - Bright Summit,Medic!!,1737072000,21129,2025_3
7969,33007,WIT-Premier,HAKA,1737241200,21128,2025_3
38634,48650,Takut Bini Army of Light,300,1737036000,21127,2025_3
8954,43325,Nuclear Armageddon,Crime Syndicate,1737226800,21126,2025_3
