fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
24218,46805,War INC,0,0,Hummingbirds,0,0,1737212400,0,0,2025_3
42435,46978,Nub Army,0,0,PT-Slinkys,0,0,1737064800,0,0,2025_3
39226,47838,Samurai Uprising*,0,0,Fallout Shelter,0,0,1737154800,0,0,2025_3
50348,52208,Fulca,0,0,We Forsaken Few,0,0,1737064800,0,0,2025_3
48097,50070,Braveheart,0,0,Business &amp; Trade Family,0,4,1737154800,0,0,2025_3
18963,24106,Search &amp; Destroy,0,0,The Almanac,0,0,1737057600,0,0,2025_3
49708,50478,The Ravens,0,0,TEAM SESH,0,0,1737147600,0,0,2025_3
51447,51813,2nd Chance,0,0,The BellaVerde Family,0,0,1737234000,0,0,2025_3
51382,52953,jolly fellows,0,0,Sinful Sacrosanct,0,0,1737169200,0,0,2025_3
19,8989,39th Street Killers,0,0,JUX HQ,0,1,1737039600,0,0,2025_3
11559,20514,The Masters,0,0,DropBears,0,0,1737133200,0,0,2025_3
6731,16628,The Next Level,0,0,Chain Reaction,0,0,1737046800,0,0,2025_3
50150,50699,Mortal Ruin,0,0,Star-Light-Warriors,0,0,1737118800,0,0,2025_3
52128,53011,The Pilgrimage,0,0,S A LEGEND HQ,0,0,1737230400,0,0,2025_3
41309,52267,The Askelads,0,0,Hippy War Commune,0,0,1737216000,0,0,2025_3
49153,52826,The Weekend Warriors,0,0,The Circle of Trust,0,0,1736989200,0,0,2025_3
10296,42055,Retaliation,0,0,Dead Fragment,0,0,1737223200,0,0,2025_3
52428,52693,Divine Inferno,0,0,JCL Base 1,0,0,1737129600,0,0,2025_3
45635,51151,Ascended Punks,0,0,The Peaki Blinders,0,0,1737039600,0,0,2025_3
51180,53010,TheHighTableContinental,0,0,Santa&#039;s Naughty List,0,0,1737115200,0,0,2025_3
50927,50951,"SEX,  Sweet-Ecstacy-Xanax",0,0,The Gambino Family,0,0,1737050400,0,0,2025_3
51719,52656,Lycans,0,0,Continental,0,0,1737115200,0,0,2025_3
50754,51697,Th3 Illuminati,0,0,Nine Hells of Baator,0,0,1736985600,0,0,2025_3
9047,34247,DarkHearts,0,0,Veloce,0,0,1737129600,0,0,2025_3
9455,9503,Bleed,0,0,TSFTS Microbrewery,0,0,1737061200,0,0,2025_3
8468,9524,Bloodbath and Beyond,0,0,|HT|,0,1,1737151200,0,0,2025_3
49413,51579,Green &#039;Peace&#039;,0,0,Win Or Learn,0,0,1737054000,0,0,2025_3
9171,51062,Occul2us,0,0,High Table,0,0,1737136800,0,0,2025_3
51628,52873,Wolfe Corp.,0,0,Bargain Boozers CW,0,0,1737064800,0,0,2025_3
48832,50888,One Big Family,0,0,Owain&#039;s Rebels,0,0,1737223200,0,0,2025_3
41028,45421,DP Medics,0,0,Ricefields of Neverland,0,0,1737122400,0,0,2025_3
52015,52042,Red Rising,0,0,Perfectly Violent Society,0,0,1737237600,0,0,2025_3
28460,35090,Gangsta&#8217;s With Attitude,0,0,Desert Phoenix,0,0,1737054000,0,0,2025_3
7282,9110,Luscious Dreams,0,0,Siege,0,0,1737158400,0,0,2025_3
48718,51771,Peaky CS II,0,0,8-Ball,0,0,1737079200,0,0,2025_3
49010,51559,Academy of Killers BR,0,0,The Iron Fist,0,0,1737068400,0,0,2025_3
35140,45415,Vault 76,0,0,PT-SunnyVale,0,0,1737147600,0,0,2025_3
52355,52610,Thot.pockets,0,0,Cheddarplanet,0,0,1737064800,0,0,2025_3
50334,52608,Noble Vanguard,0,0,Rogue Algorists,0,0,1737144000,0,0,2025_3
9517,37426,OverWatch,0,0,Monarch Embassy,0,1,1737036000,0,0,2025_3
47924,50242,The Guild,0,0,The Rebel Association,0,0,1737216000,0,0,2025_3
50428,50662,Blade Runners,0,0,Cursebound Armada OJCW,0,0,1737230400,0,0,2025_3
