fac1,fac2,fac1_name,fac2_name,wstart,wid,week,fac1_total,fac1_okay,fac1_hosp,fac1_travel,fac1_jail,fac1_pct,fac2_total,fac2_okay,fac2_hosp,fac2_travel,fac2_jail,fac2_pct,timestamp
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,13,0,1,0,0.93,10,3,6,1,0,0.3,1743660030.22855
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,1,17,0,0,0.05,18,15,1,1,0,0.83,1743660030.22855
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,11,7,0,0,0.61,15,8,6,1,0,0.53,1743660030.22855
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,13,0,1,0,0.93,10,4,5,1,0,0.4,1743661819.1642
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,0,19,0,0,0,18,13,3,1,0,0.72,1743661819.1642
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,11,7,0,0,0.61,15,2,12,1,0,0.13,1743661819.1642
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,11,2,1,0,0.79,10,8,1,1,0,0.8,1743663628.56029
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,1,17,1,0,0.05,18,13,2,2,0,0.72,1743663628.56029
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,10,8,0,0,0.56,15,10,4,1,0,0.67,1743663628.56029
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,13,0,1,0,0.93,10,8,1,1,0,0.8,1743665419.82076
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,5,13,1,0,0.26,18,13,2,2,0,0.72,1743665419.82076
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,11,7,0,0,0.61,15,10,4,1,0,0.67,1743665419.82076
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,4,9,1,0,0.29,10,6,3,1,0,0.6,1743667224.18931
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,0,18,1,0,0,18,13,2,3,0,0.72,1743667224.18931
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,15,3,0,0,0.83,15,12,2,1,0,0.8,1743667224.18931
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,13,0,0,0,0.93,10,5,4,1,0,0.5,1743669013.49175
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,0,18,1,0,0,18,13,3,1,0,0.72,1743669013.49175
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,16,2,0,0,0.89,15,11,2,2,0,0.73,1743669013.49175
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,12,1,0,0,0.86,10,5,4,1,0,0.5,1743670825.47365
48433,53295,THE RICK HORRORS,Blackout Division,1743652800,23962,2025_14,19,8,10,1,0,0.42,18,15,0,2,0,0.83,1743670825.47365
50498,53500,Biker&#039;s crew,M.F.H(Murder For Hire),1743638400,23899,2025_14,18,16,2,0,0,0.89,15,9,4,1,0,0.6,1743670825.47365
51516,53656,Vault 99,MCMH,1743649200,24104,2025_14,14,13,0,1,0,0.93,10,5,4,1,0,0.5,1743672620.23027
