uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1970192,Gwelrohira,100,1718877287,478,PT-ShadowRazers,0.74,4.9,2.44,5267.9,0.01,0.37,0.41,23.7,0.52,0.9,4168241105
1971416,Sweetleaf42,94,1718853331,11428,Swiss Squad,2.1,3.07,2.21,3897.48,0.04,0.04,0.11,0,0.32,0.81,3162008983
1972474,ThirdLife,99,1718877151,30820,Wolverines Gone Wild,0.14,5.49,2.38,2661.06,0,0.01,0,0,0,0.96,2240115259
1972608,-Ahgue-,92,1718872697,21234,Underground Nation,2.43,6.24,2.27,3128.4,0.29,0.1,0.14,37.22,0.9,0.91,1979746142
1973090,Trychy00,80,1718877676,40992,Medic!!,1.59,2.54,2.82,9468.41,1.06,0.01,0,0,0.02,0.96,1623121272
1973986,GrahamM98,50,1718865902,26312,Delightful Assholes,4.12,4.26,2.33,2456.39,0.34,0.07,0,0,0,0.86,55568554
1974354,Dibblidyy,39,1718867204,35090,Desert Phoenix,0,0.03,2.3,1741.98,0,0.04,0,0,0,1,7474858
1974447,Adrenalinas,100,1718873853,937,Sport Club,1.72,20.98,2.12,4952.6,0.19,0.07,0.01,0,0.56,0.88,8356005357
1977332,CCRD,98,1718874504,33007,HAKA,0.32,3.43,2.27,5393.27,0.03,0.38,1.36,13.99,0.8,0.94,4785775299
1977555,sharpener,100,1718866109,14365,JFK 2.1,3.53,20.46,2.7,7704.73,0.11,0.07,0.91,46.77,0.07,0.96,8626340240
1977683,ThtAstronautGuy,100,1718863307,13665,PT-Penguins,3.72,4.33,2.78,4184.33,0.56,0.02,0.33,15.11,0,0.63,6693794333
1977906,confess,90,1718878304,40399,WIT-Mayhem,8.34,11.31,2.78,21070.18,2.78,1.11,1.99,0.18,0,0.84,3605580403
1978647,Delldax,64,1718875213,8510,Ara Pacis,0.16,0.46,2.27,1065.97,0,0,5.24,0,0,0.89,650429850
1978690,deft0ne,100,1718873046,11428,Swiss Squad,2.17,2.29,2.2,647.76,0.09,0.01,0,0,0,0.8,6755778236
1978814,replicant194,100,1718847765,27370,Desert Eagle,0.94,2.56,2,3829.82,0,0.12,0.08,0,0.13,0.82,4025713034
1979106,_Vision,55,1718869944,8500,Extinction,0,3.7,2.01,2218.28,0,0,0,0,0.08,0.83,1833855019
1980106,Muffinut,100,1718870537,9100,The Black Hand,3.3,3.7,2.68,1670.97,0.22,0.1,0.31,26.23,0.28,0.91,4401065879
1980155,UV1,100,1718877142,11581,Natural Selection III,1.02,2.33,2.52,4205.2,0.18,0.06,0.13,14.01,0.88,0.98,4621505777
1980847,Jacitlaci,65,1718876929,12893,Darkside,3.27,5.61,2.04,2285.27,0.07,0.03,0.26,24.41,0.9,0.83,753089769
1980903,UnrealNL,100,1718873608,6799,The Untouchables,0.2,5.04,2.22,2339.78,0.01,0.06,0.02,1.22,0.33,0.8,6182509677
198133,CAV,100,1718859738,7835,Monarch Mutation,5.86,10.43,2.4,19953.43,0.14,0.54,10.28,68.9,0.79,0.97,7748376363
198152,Chi99,90,1718874778,8811,Impulse 13!,0.9,6.83,2.22,5698.52,0.37,0.14,0.78,0,0,0.9,2925986579
198213,Chase,100,1718873853,13784,WarBirds,0.34,0.36,2.39,2050.76,0,0.02,0.02,4.64,0,0.94,6971012350
