uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,total
1317974,Muaz,100,1718875516,7835,Monarch Mutation,1816,6115,7301,10876508,204,311,1482,23601,134,3545,10024784478
1318799,NightWing,100,1718875746,11428,Swiss Squad,1381,15261,5788,30331742,208,271,3720,2613,172,1970,7191536194
1319711,Tool,95,1718862400,8468,Bloodbath and Beyond,817,12282,4745,15567056,146,169,2255,1688,168,2885,6867429208
1321910,Ceberix,100,1718877737,9533,Natural Selection,562,10555,8315,13323081,159,186,8876,14671,510,4436,16164986112
1322114,Bdane,70,1718866389,42125,ODB,105,2628,1484,2227112,5,168,529,10525,220,779,1125313573
1322136,Beerstein,17,1718873597,231,Destructive Anomaly,1413,20284,6158,48989508,153,420,1558,25127,589,3330,8288044627
1322847,OtingocnI,100,1718877293,40420,Too Sober for this Shit,1288,11967,3467,7764929,478,216,1264,34799,1045,1327,3007340907
1324531,McLaurens,100,1718864363,22492,Dystopia,828,26419,6342,12068862,207,264,7104,17856,1194,3693,8975012647
1325427,Jim,78,1718875642,23193,Materia,1387,3943,1435,4698756,0,197,150,0,83,893,1046253519
1326199,Shoop,100,1718875279,19,39th Street Killers,703,13361,3674,12391725,194,524,5550,7786,525,1782,5181351649
132684,Tigrrrrrr,100,1718850830,13784,WarBirds,1369,38155,7772,51793245,323,542,6057,46332,1247,4398,13295103758
1326851,ToyotaSupraTT,100,1718852528,8336,Monarch HQ,227,20141,8799,10814147,38,51,2948,41355,2138,4508,11814007995
1327326,Dishage,99,1718845621,30820,Wolverines Gone Wild,927,7201,2459,18697867,155,342,5686,4720,632,1301,2988150594
133039,Jack-o,100,1718873888,37595,The Corporation,759,7664,4636,5459418,196,83,1862,516,123,1529,5008621323
1331516,decomposer,100,1718873681,7835,Monarch Mutation,3000,36710,10148,17503676,1425,417,5263,146846,3063,4397,12252489006
1333543,Senso,100,1718865733,36660,Premature Attackulation,1233,23111,5599,12110020,27,320,2290,4164,320,3689,9105960147
1335603,jacksonpollock,82,1718874839,10174,AQUA-Poseidon,161,7897,3162,9615976,40,736,1734,12758,357,1633,4031793060
1335768,nerbas,100,1718860440,2013,Subversive  Alliance,184,13764,8959,12914382,8,413,291,183,317,4374,13554848988
133687,HavokGDI,100,1718867227,9412,BLACK STATUES,2715,24451,7837,25833751,410,414,1379,16226,421,3903,16039335606
1337407,wayyeewooo,100,1718876715,33458,SA One  Punch,3936,32420,8226,50518753,1027,547,3182,150,1268,3680,10418611494
1338102,KarateMan,100,1718874627,2013,Subversive  Alliance,320,12243,10429,25574100,168,1514,16114,31606,737,4517,16205950057
1338194,lukemaster,100,1718871945,937,Sport Club,504,29531,8272,20591493,798,1528,3032,150308,2833,3294,8573924247
1338544,Judge,100,1718876703,11581,Natural Selection III,4468,30392,7378,22311975,818,1113,6313,45186,961,2911,8037991273
1338804,cockroach,100,1718856816,230,PT-Family,475,39066,5734,40840669,100,782,2106,121510,2302,4250,9257553023
1339512,Siguror,100,1718866743,16628,Chain Reaction,816,22282,12278,28208148,105,651,2088,58491,2764,4928,15523798755
1341013,stad,75,1718878072,937,Sport Club,693,15455,5509,15552426,327,1720,4147,37904,1080,4296,11336977614
1343188,_Viktor_,100,1718868787,16312,39th Street Killers X,747,30858,5723,13029559,143,428,9112,116730,1253,3887,8230315873
134432,MataGelap,100,1718878126,9533,Natural Selection,888,9729,7525,4411948,54,620,3813,27097,612,4666,14327084799
1344647,Jacques_Mesrine,100,1718853986,937,Sport Club,369,10795,4912,7424927,130,822,1212,104281,2018,3393,7606328591
1345949,Ace_The_Kid,100,1718859493,8500,Extinction,157,27847,3439,11583470,25,329,920,12010,718,1646,2596240353
1346470,Cablewarf,65,1718862506,15644,New Sith Order,1206,7139,1923,7436749,256,110,881,8210,265,1124,1402789958
1347030,Dainius,100,1718874942,20747,Damage Inc,1987,31281,7152,15077256,780,503,974,68026,2724,2845,8171827190
1348164,Nick,100,1718873116,9533,Natural Selection,520,10688,7547,13410323,17,761,880,4213,513,2812,10494666210
1348306,Mongrel,100,1718848244,7835,Monarch Mutation,619,7650,3029,4489005,18,230,561,4427,134,1464,2686864665
1348866,Tols,69,1718877243,7935,Blue Rock Collective,1629,2902,1361,3076282,61,28,143,3291,70,791,850559042
1351008,Havoc805,92,1718876644,42125,ODB,166,4919,2708,5788680,6,411,1857,2441,218,1267,3377984805
1352251,ChristmasBazaar,100,1718877562,16628,Chain Reaction,1622,68922,12155,43119456,294,1925,20397,183723,2933,4867,1.08e+11
1352566,ShoX,71,1718874359,7115,Republic Of Futuria,158,3407,976,4402865,0,3,282,1340,102,406,243715941
1353692,Bootycall,100,1718872815,2013,Subversive  Alliance,392,45996,8283,30849387,186,974,7928,144305,3097,4626,13898652092
1354993,Fitzy,69,1718865413,22295,Aquarius,157,4319,3512,6340472,85,46,1484,12673,187,851,3452849575
