fac1,fac2,fac1_name,fac2_name,wstart,wid,week
52994,53309,Moretti Crime Family,The Infernal Blaze,1740222000,22368,2025_8
47701,50428,The 42,Blade Runners,1740261600,22367,2025_8
40607,50711,Catnip Crew: Recruiting,Diamond Cartel,1740250800,22366,2025_8
49617,51758,Filthy_Casuals,Dracula's Disciples,1740247200,22365,2025_8
32395,36274,-Aurora-,Violent Resolution II,1740078000,22364,2025_8
33999,50601,Reluctant Horrors,Gozerian,1740175200,22363,2025_8
16079,49837,Below the Wake,Veritas,1740081600,22362,2025_8
89,13377,Catalysis,The Brotherhood of War,1740243600,22361,2025_8
7227,40420,The Collective JTF,Too Sober for this Shit,1740164400,22360,2025_8
51373,53049,The Salamanders,The Dirty Welcomematts,1740060000,22359,2025_8
51572,52387,Winter Fell,The Sons Of Anarchy,1740124800,22358,2025_8
9400,47676,Cyclone,Matcha Cafe,1740236400,22357,2025_8
50138,51042,Greenlantis,Starlight,1740074400,22356,2025_8
51218,52873,Magus Optimum,Bargain Boozers CW,1740146400,22355,2025_8
9728,49247,Nautilus,NF Outlaws,1740250800,22354,2025_8
51304,51933,Legion Of Doom,Clown College,1740261600,22353,2025_8
47812,48832,The Fiends,One Big Family,1740074400,22352,2025_8
42961,46692,The Rebel Army,Disruption,1740250800,22351,2025_8
231,2013,Destructive Anomaly,Subversive  Alliance,1740171600,22350,2025_8
21541,52801,My Brother&#8217;s Keeper,Red ones,1740243600,22349,2025_8
49515,51813,Holy Crucible Of Monarch,The BellaVerde Family,1740078000,22348,2025_8
38887,46627,Claws,KOTOR,1740261600,22347,2025_8
52203,52369,The Bruddahood,The Court Of Owls,1740186000,22346,2025_8
44594,50170,The WarSluts,Night Watch,1740175200,22345,2025_8
44746,52235,Chromatic Sloths,TheMatrix,1740074400,22344,2025_8
17250,45837,Dog Tags,dDossers,1740250800,22343,2025_8
230,13784,PT-Family,WarBirds,1740150000,22342,2025_8
10979,38662,BAD COMPANY,Only The Family,1740247200,22341,2025_8
51605,53254,The Night Owls,New Horizon,1740067200,22340,2025_8
36693,49953,S.W.A.T Academy,4.20,1740254400,22339,2025_8
49010,49862,Academy of Killers BR,Dirty Mike and the Boyz,1740160800,22338,2025_8
51916,53142,Berserker Brotherhood,Project Xanax,1740092400,22337,2025_8
38511,50643,Bellazzurro Family,Caramel Chocolate Winter,1740214800,22336,2025_8
51781,53312,Torn Family,REBELLION WARBAND,1740106800,22335,2025_8
22887,26437,Resilience,The Prowl,1740081600,22334,2025_8
48264,52932,Yahoo&#8217;s Yahooligans,Elite Hunters,1740265200,22333,2025_8
52627,53216,Demon Sky,Shadow Development Group,1740157200,22332,2025_8
42832,48093,Ascendency,UNDERWORLD,1740070800,22331,2025_8
51716,52016,Develop (Hiring),The Elden Knights,1740178800,22330,2025_8
2736,15151,Itsi Bitsi Bikini,The ZOO,1740063600,22329,2025_8
14441,20341,The Mavericks,Ophidians,1740153600,22328,2025_8
478,8384,PT-ShadowRazers,Savage Plague,1740074400,22327,2025_8
7074,42435,The New Uprising - HQ,Nub Army,1740258000,22326,2025_8
51067,51903,The Crimson Blade,Retards INC,1740160800,22325,2025_8
11872,21973,Leafy&#039;s Tree,Drunk Squad,1740085200,22324,2025_8
9176,42055,The Iron Fist,Dead Fragment,1740243600,22323,2025_8
52539,53241,Citadel,Dead Church Priests,1740171600,22322,2025_8
11062,25857,LIPZ R SEALED,Road House,1740074400,22321,2025_8
49147,50310,Gladiators,classicvirgin,1740171600,22320,2025_8
8422,27312,Monarch Cupid,SA Succession,1740063600,22319,2025_8
43793,53251,Backstreet Bozos,Gutter~Dawgs,1740110400,22318,2025_8
52975,53074,Dark Order Society,Low Vibin&#039;,1740016800,22317,2025_8
44376,48911,The Fellowship Warriors,Mickey Mouse Clubhouse II,1740250800,22316,2025_8
7093,15595,Halos,Lusty Lizards,1740254400,22315,2025_8
946,21234,PT-IronHearts,Underground Nation,1740157200,22314,2025_8
42353,52125,The Watch Corps,The Men of Letters,1740265200,22313,2025_8
52557,53359,The Eternal Order,Wars,1740078000,22312,2025_8
47042,49169,Risky Business,VOLT 44,1740142800,22311,2025_8
34247,50791,Veloce,Undead Legion,1740060000,22310,2025_8
12645,43428,NPO - Endurance,The Madhouse Resurrection,1740261600,22309,2025_8
10850,10856,JUX Lite,REK II,1740250800,22308,2025_8
8151,14365,Chromatic,JFK 2.1,1740171600,22307,2025_8
20718,37402,S.C.A.R. Division X,The Laboratory,1740254400,22306,2025_8
20554,44562,Rising Reckoning,Vanguard Titans,1740261600,22305,2025_8
50806,52707,Sanctuary for all,Freedom Reapers,1740265200,22304,2025_8
52608,52827,Rogue Algorists,The Krystal Empire,1740085200,22303,2025_8
18420,36457,The Black Knights,Warband of the Fallen,1740265200,22302,2025_8
44390,50356,Torn Cinematic Universe,Colombo Crime Family,1740265200,22301,2025_8
41309,48707,The Askelads,Home Base,1740160800,22300,2025_8
52292,52645,The Cartel Gods,Petals of the Frozen Dawn,1740013200,22299,2025_8
39010,41363,SCALLYWAGS,WIT-Revolution,1740164400,22298,2025_8
50896,51390,The Boozehounds,Whisker Warriors,1740261600,22297,2025_8
11747,18569,Natural Selection II,Romania Elite Kommando,1740078000,22296,2025_8
41123,51708,IRON FORGE,Tribunal Global Network,1740254400,22295,2025_8
9674,28073,Smells like Sex,Shiny Hoard Avian Team,1740175200,22294,2025_8
20465,31764,SMTH - Phoenix Nirvana,39th Street Warriors,1740060000,22293,2025_8
8076,27902,Order Through Chaos,SMTH - Concord,1740096000,22292,2025_8
8255,28460,Requiem,Gangsta&#8217;s With Attitude,1740247200,22291,2025_8
17991,19449,TC Mafia Chain Gang,Near~Death,1740078000,22290,2025_8
14432,16696,160th SOAR Night Stalkers,PT-Guemedolphinos,1740243600,22289,2025_8
13848,50740,BreakingBad,Double Chocolate Winter,1740254400,22288,2025_8
