uid,name,level,la,fid,faction,rankedwarhits,attackswon,xantaken,useractivity,retals,boostersused,energydrinkused,specialammoused,dukecontractscompleted,refills,Stats,total
2606405,Bmx22,16,1718851439,39580,Dead Body Crew,32,331,14,201086,0,1,1,500,39,99,0,105068
2606457,ZarathosX75,60,1718852243,17250,Dog Tags,1145,2985,303,2715462,19,54,80,0,265,52,0,26507184
2606458,Maionese,91,1718878482,40775,WarDogs HQ,549,5666,2923,7626221,35,228,375,350,284,999,0,2486460416
2606547,Tuckri,78,1718839783,13138,Dark Carnival,982,4975,1303,3301366,14,32,202,32046,607,729,0,916060760
2606621,littlecorn,81,1718866395,8537,NNGO,643,5717,2708,2194281,83,98,336,0,139,508,0,1877717963
2606640,Creamanal,99,1718871718,9201,Destination Unknown,612,10576,2859,6702858,28,211,1019,5051,576,1212,0,2215294601
2606648,Ince_Memed,20,1718873485,33241,Nub Navy,326,3937,1195,3413340,5,7,40,3287,522,1088,0,948778765
2606649,Mivalorian,45,1718877390,22691,Elysium,742,2128,896,979063,0,22,2,0,0,155,0,65096585
2606745,stoon,100,1718854195,16628,Chain Reaction,1130,12852,3033,11642260,230,937,1574,10761,558,1154,0,2642526414
26068,amh,47,1718878399,8255,Requiem,241,1164,122,411965,2,1,13,100,294,84,0,14356990
2606868,Ifer,40,1718863730,44376,Rubber Ducky Pirates,2804,3604,494,1205445,18,67,30,43,100,243,0,17830823
2606891,Trans_Tomboy,82,1718870383,8085,Nuclear Blast,378,4931,2689,3638043,16,30,34,2207,226,1082,0,2154739804
2606934,Kyithar,35,1718872925,10507,Ducks of Quacken,111,1774,58,960892,1,0,2,158,289,122,0,650484
2606943,Spiritusick,34,1718877797,40624,Toxic Reign,283,1226,38,887680,0,6,0,0,33,101,0,468465
2606978,Eddy,90,1718861744,9356,SMTH - Party Animals,2219,6791,3352,11214419,624,176,2695,9147,716,1280,0,3713777053
2607116,WohWill,83,1718875356,10566,The Rifle Company,880,5301,2088,8949051,6,53,821,1120,598,697,0,904083619
2607164,PsykoAktive,79,1718875044,40399,WIT-Mayhem,485,3741,2055,5920635,2,433,368,277,189,519,0,1526692860
2607257,Enpsychopedia,68,1718862645,21526,NS Bomb Shelter,102,2784,1381,7730957,2,176,180,914,187,300,0,595300407
2607273,mrjonno,88,1718878416,15929,The Inquisition,474,8488,2212,4739151,25,169,5,13538,1170,741,0,1406399268
2607285,Googlymoogly,99,1718874190,9041,PT-Calculated,1868,9207,2933,4746167,90,440,2822,14827,937,1076,0,2487707265
2607361,LaQen,52,1718877449,8151,Chromatic,2008,8961,1533,8330819,5,135,423,30447,739,404,0,386862228
2607452,CoreyGunz,49,1718868274,48058,Banty Shack,295,1792,173,796142,0,22,65,0,49,74,0,719610
2607532,Wadabut,95,1718870083,17133,Torn Medical,784,6271,3012,9507248,114,57,136,10241,1316,1182,0,2366695471
2607609,NewGT500,47,1718842513,19449,Near~Death,654,2491,516,2424032,13,177,40,3145,241,153,0,4450810
2607671,Moomy,76,1718862559,7002,Karma Chameleons,292,3052,1955,3480171,3,117,585,582,126,547,0,1388252473
2607816,Hailhoneg,49,1718877532,47924,The Guild,2136,3773,627,1675748,13,12,9,3191,111,202,0,25023751
2607832,Cloudia,66,1718866048,9517,OverWatch,622,5826,2192,4621599,0,376,507,92,526,1157,0,2034120549
2608115,Esperanza0617,30,1718852884,10184,Conscientious,138,3754,1072,1783790,0,81,42,1000,545,228,0,154827986
2608152,neonred,60,1718878533,40959,EPIC Mafia,1259,4688,3025,11152590,45,115,325,19512,482,985,0,2632464370
2608170,Malachy,71,1718852215,14686,Endless Endeavor,238,4764,1481,3088659,1,44,102,1967,154,214,0,380002046
